OBJECTID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,RPL_THEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,6,CALIFORNIA,CA,6037,Los Angeles,6037275603,0.1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,6,CALIFORNIA,CA,6037,Los Angeles,6037273902,0.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,6,CALIFORNIA,CA,6037,Los Angeles,6037267200,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,6,CALIFORNIA,CA,6037,Los Angeles,6037265602,0.1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,6,CALIFORNIA,CA,6037,Los Angeles,6037276604,0.1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,6,CALIFORNIA,CA,6037,Los Angeles,6037189600,0.1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,6,CALIFORNIA,CA,6037,Los Angeles,6037297500,0.1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,6,CALIFORNIA,CA,6037,Los Angeles,6037700300,0.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,6,CALIFORNIA,CA,6037,Los Angeles,6037276500,0.1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,6,CALIFORNIA,CA,6037,Los Angeles,6037277100,0.1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,6,CALIFORNIA,CA,6037,Los Angeles,6037265601,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,6,CALIFORNIA,CA,6037,Los Angeles,6037214503,0.1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,6,CALIFORNIA,CA,6037,Los Angeles,6037139701,0.1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,6,CALIFORNIA,CA,6037,Los Angeles,6037267902,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,6,CALIFORNIA,CA,6037,Los Angeles,6037262200,0.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,6,CALIFORNIA,CA,6037,Los Angeles,6037141102,0.1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,6,CALIFORNIA,CA,6037,Los Angeles,6037141101,0.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
